2022-09-26 00:47:05.929 [main] INFO  com.generics.App - Hello World!
2022-09-26 01:08:55.775 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:08:55.779 [main] INFO  com.generics.App - Give 3 inputs:
2022-09-26 01:09:01.059 [main] INFO  com.generics.App - Max Number is at Position 2!2
2022-09-26 01:09:09.994 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:09:09.994 [main] INFO  com.generics.App - Give 3 inputs:
2022-09-26 01:09:12.529 [main] INFO  com.generics.App - Max Number is at Position 2!3
2022-09-26 01:11:13.278 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:11:13.282 [main] INFO  com.generics.App - Give 3 inputs:
2022-09-26 01:11:27.401 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:11:27.401 [main] INFO  com.generics.App - Give 3 inputs:
2022-09-26 01:11:29.423 [main] INFO  com.generics.App - Max Number is at Position 2!2
2022-09-26 01:12:35.586 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:12:35.586 [main] INFO  com.generics.App - Give 3 inputs:
2022-09-26 01:12:39.089 [main] INFO  com.generics.App - Max Number is at Position 2!2
2022-09-26 01:12:39.091 [main] INFO  com.generics.App - 2
2022-09-26 01:13:51.612 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:13:51.633 [main] INFO  com.generics.App - Give 3 inputs:
2022-09-26 01:13:54.162 [main] INFO  com.generics.App - Max Number is not present at Position 2!5
2022-09-26 01:13:54.164 [main] INFO  com.generics.App - 4
2022-09-26 01:14:14.316 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:14:14.332 [main] INFO  com.generics.App - Give 3 inputs:
2022-09-26 01:14:16.480 [main] INFO  com.generics.App - Max Number is at Position 2!2
2022-09-26 01:14:16.482 [main] INFO  com.generics.App - 2
2022-09-26 01:14:44.359 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:14:44.359 [main] INFO  com.generics.App - Give 3 inputs:
2022-09-26 01:14:47.951 [main] INFO  com.generics.App - Max Number is at Position 2!2
2022-09-26 01:14:47.953 [main] INFO  com.generics.App - 2
2022-09-26 01:14:47.955 [main] INFO  com.generics.App - 2
2022-09-26 01:15:43.095 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:15:43.095 [main] INFO  com.generics.App - Give 3 inputs:
2022-09-26 01:15:44.693 [main] INFO  com.generics.App - Max Number is not present at Position 2!3
2022-09-26 01:15:44.695 [main] INFO  com.generics.App - 2
2022-09-26 01:15:44.695 [main] INFO  com.generics.App - 3
2022-09-26 01:29:55.810 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 01:29:55.826 [main] INFO  com.generics.App - Give 3 inputs of Integers to check max:
2022-09-26 01:30:04.889 [main] INFO  com.generics.App - Max Number is not present at Position 2! 3
2022-09-26 01:30:04.891 [main] INFO  com.generics.App - Give 3 inputs of Strings to check max:
2022-09-26 01:30:16.023 [main] INFO  com.generics.App - Max String is at Position 2! qwertyu
